record_id,material_family,material_group,grade_or_alloy,powder_name,supplier,manufacturer,country_or_region,processes,psd_um,atomization_or_production,morphology,density_g_cm3,quantity_kg,currency,total_price,unit_price_per_kg,price_type,lead_time,source_url,source_accessed_date,confidence,notes
MET-FE-316L-AP-001,metal,Fe,316L,316L Stainless Steel Powder LPBF 10 kg,Additive Plus,A-Powder,USA,"LPBF;EBM;DED",15-45,"GA;VIGA",spherical,7.99,10,USD,690,69,public_list,2 business days,https://additiveplus.com/product/316l-stainless-steel-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"Public ecommerce price; verify before procurement."
MET-FE-316L-WURTH-001,metal,Fe,316L,316L Stainless Steel Alloy Powder 15-53 µm,Würth Additive,Unknown,USA,LPBF,15-53,unknown,spherical,7.99,10,USD,296.70,29.67,distributor_estimate,unknown,https://wurthadditive.com/products/316-stainless-steel-powder-15-53-%C2%B5m,2026-05-17,low,"Site states estimates and requests quote for accurate pricing."
MET-AL-ALSI10MG-AP-001,metal,Al,AlSi10Mg,A-Powder AlSi10Mg Aluminum Powder LPBF 10 kg,Additive Plus,A-Powder,USA,LPBF,unknown,unknown,spherical,2.68,10,USD,580,58,public_list,unknown,https://additiveplus.com/product/a-powder-alsi10mg-aluminum-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"Public ecommerce price. PSD should be verified on current product page."
MET-AL-ALSI10MG-QUA-001,metal,Al,AlSi10Mg,AlSi10Mg 20-63 µm,Qualloy,Unknown,EU,LPBF,20-63,unknown,spherical,2.68,10,EUR,,26.32,public_list,unknown,https://qualloy.com/materials/aluminium/AlSi10Mg-20-63-1,2026-05-17,medium,"Ex-Works public tier price from 10 kg."
MET-TI-TI64-G5-AP-001,metal,Ti,Ti-6Al-4V Grade 5,A-Powder Ti-6Al-4V Grade 5 LPBF 10 kg,Additive Plus,A-Powder,USA,LPBF,15-53,EIGA,spherical,4.43,10,USD,1220,122,public_list,5-10 business days,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"Grade 5 public 10-100 kg tier."
MET-TI-TI64-G23-AP-001,metal,Ti,Ti-6Al-4V Grade 23 ELI,A-Powder Ti-6Al-4V Grade 23 ELI LPBF 10 kg,Additive Plus,A-Powder,USA,LPBF,15-53,EIGA,spherical,4.43,10,USD,1350,135,public_list,5-10 business days,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"Grade 23 public 10-100 kg tier."
MET-NI-IN718-AP-001,metal,Ni,Inconel 718,A-Powder Inconel 718 LPBF 10 kg,Additive Plus,A-Powder,USA,LPBF,15-53,VIGA,spherical,8.19,10,USD,1090,109,public_list,5-10 business days,https://additiveplus.com/product/a-powder-inconel-718-nickel-superalloy-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"Public 10-100 kg tier."
POL-PA12-AP-001,polymer,PA12,PA12,KSPA12 Nylon Powder SLS 10 kg,Additive Plus,KSPA12,USA,"SLS;MJF",unknown,polymer powder,near-spherical,1.01,10,USD,750,75,public_list,in stock,https://additiveplus.com/product/kspa12-nylon-powder/,2026-05-17,medium,"Public SLS PA12 price."
POL-PA12-MIC-001,polymer,PA12,PA12,PA12 SLS Additive Manufacturing Nylon,Made-in-China marketplace,Various,China,"SLS;MJF",unknown,polymer powder,unknown,1.01,5,USD,,30,marketplace,unknown,https://www.made-in-china.com/manufacturers/nylon-pa-12.html,2026-05-17,low,"Marketplace price; needs supplier verification."
MET-FE-316L-REN-001,metal,Fe,316L,Stainless steel 316L powder,Renishaw,Renishaw,UK,LPBF,unknown,unknown,spherical,7.99,,USD,,,request_quote,longer lead times may apply,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,2026-05-17,high,"Quote-only product page."
MET-NI-IN625-REN-001,metal,Ni,Inconel 625,Inconel 625 powder,Renishaw,Renishaw,UK,LPBF,unknown,unknown,spherical,8.44,,USD,,,request_quote,longer lead times may apply,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,2026-05-17,high,"Quote-only product page."
MET-FE-MARAGING-REN-001,metal,Fe,Maraging Steel,Maraging Steel powder,Renishaw,Renishaw,UK,LPBF,unknown,unknown,spherical,8.1,,USD,,,request_quote,longer lead times may apply,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,2026-05-17,high,"Quote-only product page."
