record_id,feedstock_class,material_family,material_group,grade_or_alloy,product_name,supplier,manufacturer,supplier_type,country_or_region,processes,form_factor,diameter_mm,package_quantity,package_unit,psd_um,particle_shape,production_route,density_g_cm3,currency,package_price,normalized_price_per_kg,normalized_price_per_l,price_type,lead_time,source_url,source_accessed_date,confidence,refresh_or_reuse_note,handling_risks,qualification_level,sustainability_signal,notes
MET-FE-316L-AP-001,powder,metal,Fe,316L,316L Stainless Steel Powder LPBF 10 kg,Additive Plus,A-Powder,distributor,USA,LPBF;EBM;DED,powder,,10.0,kg,15-45,spherical,GA;VIGA,7.99,USD,690.0,69.0,,public_list,2 business days,https://additiveplus.com/product/316l-stainless-steel-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Public ecommerce price; verify before procurement.
MET-FE-316L-WURTH-001,powder,metal,Fe,316L,316L Stainless Steel Alloy Powder 15-53 µm,Würth Additive,Unknown,distributor,USA,LPBF,powder,,10.0,kg,15-53,spherical,unknown,7.99,USD,296.7,29.67,,distributor_estimate,unknown,https://wurthadditive.com/products/316-stainless-steel-powder-15-53-%C2%B5m,2026-05-17,low,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Site states estimates and requests quote for accurate pricing.
MET-AL-ALSI10MG-AP-001,powder,metal,Al,AlSi10Mg,A-Powder AlSi10Mg Aluminum Powder LPBF 10 kg,Additive Plus,A-Powder,distributor,USA,LPBF,powder,,10.0,kg,unknown,spherical,unknown,2.68,USD,580.0,58.0,,public_list,unknown,https://additiveplus.com/product/a-powder-alsi10mg-aluminum-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Public ecommerce price. PSD should be verified on current product page.
MET-AL-ALSI10MG-QUA-001,powder,metal,Al,AlSi10Mg,AlSi10Mg 20-63 µm,Qualloy,Unknown,distributor,EU,LPBF,powder,,10.0,kg,20-63,spherical,unknown,2.68,EUR,,26.32,,public_list,unknown,https://qualloy.com/materials/aluminium/AlSi10Mg-20-63-1,2026-05-17,medium,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Ex-Works public tier price from 10 kg.
MET-TI-TI64-G5-AP-001,powder,metal,Ti,Ti-6Al-4V Grade 5,A-Powder Ti-6Al-4V Grade 5 LPBF 10 kg,Additive Plus,A-Powder,distributor,USA,LPBF,powder,,10.0,kg,15-53,spherical,EIGA,4.43,USD,1220.0,122.0,,public_list,5-10 business days,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Grade 5 public 10-100 kg tier.
MET-TI-TI64-G23-AP-001,powder,metal,Ti,Ti-6Al-4V Grade 23 ELI,A-Powder Ti-6Al-4V Grade 23 ELI LPBF 10 kg,Additive Plus,A-Powder,distributor,USA,LPBF,powder,,10.0,kg,15-53,spherical,EIGA,4.43,USD,1350.0,135.0,,public_list,5-10 business days,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Grade 23 public 10-100 kg tier.
MET-NI-IN718-AP-001,powder,metal,Ni,Inconel 718,A-Powder Inconel 718 LPBF 10 kg,Additive Plus,A-Powder,distributor,USA,LPBF,powder,,10.0,kg,15-53,spherical,VIGA,8.19,USD,1090.0,109.0,,public_list,5-10 business days,https://additiveplus.com/product/a-powder-inconel-718-nickel-superalloy-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,2026-05-17,medium,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Public 10-100 kg tier.
POL-PA12-AP-001,powder,polymer,PA12,PA12,KSPA12 Nylon Powder SLS 10 kg,Additive Plus,KSPA12,distributor,USA,SLS;MJF,powder,,10.0,kg,unknown,near-spherical,polymer powder,1.01,USD,750.0,75.0,,public_list,in stock,https://additiveplus.com/product/kspa12-nylon-powder/,2026-05-17,medium,"track thermal aging, refresh ratio, cake recovery, and moisture",moisture aging; dust inhalation; thermal history sensitivity,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Public SLS PA12 price.
POL-PA12-MIC-001,powder,polymer,PA12,PA12,PA12 SLS Additive Manufacturing Nylon,Made-in-China marketplace,Various,marketplace,China,SLS;MJF,powder,,5.0,kg,unknown,unknown,polymer powder,1.01,USD,,30.0,,marketplace,unknown,https://www.made-in-china.com/manufacturers/nylon-pa-12.html,2026-05-17,low,"track thermal aging, refresh ratio, cake recovery, and moisture",moisture aging; dust inhalation; thermal history sensitivity,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Marketplace price; needs supplier verification.
MET-FE-316L-REN-001,powder,metal,Fe,316L,Stainless steel 316L powder,Renishaw,Renishaw,machine_oem,UK,LPBF,powder,,,,unknown,spherical,unknown,7.99,USD,,,,request_quote,longer lead times may apply,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,2026-05-17,high,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Quote-only product page.
