observation_id,record_id,observed_date,supplier,currency,package_price,package_quantity,package_unit,normalized_price_per_kg,normalized_price_per_l,price_type,confidence,source_url,notes
OBS-MET-FE-316L-AP-001,MET-FE-316L-AP-001,2026-05-17,Additive Plus,USD,690.0,10.0,kg,69.0,,public_list,medium,https://additiveplus.com/product/316l-stainless-steel-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,Public ecommerce price; verify before procurement.
OBS-MET-FE-316L-WURTH-001,MET-FE-316L-WURTH-001,2026-05-17,Würth Additive,USD,296.7,10.0,kg,29.67,,distributor_estimate,low,https://wurthadditive.com/products/316-stainless-steel-powder-15-53-%C2%B5m,Site states estimates and requests quote for accurate pricing.
OBS-MET-AL-ALSI10MG-AP-001,MET-AL-ALSI10MG-AP-001,2026-05-17,Additive Plus,USD,580.0,10.0,kg,58.0,,public_list,medium,https://additiveplus.com/product/a-powder-alsi10mg-aluminum-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,Public ecommerce price. PSD should be verified on current product page.
OBS-MET-TI-TI64-G5-AP-001,MET-TI-TI64-G5-AP-001,2026-05-17,Additive Plus,USD,1220.0,10.0,kg,122.0,,public_list,medium,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,Grade 5 public 10-100 kg tier.
OBS-MET-TI-TI64-G23-AP-001,MET-TI-TI64-G23-AP-001,2026-05-17,Additive Plus,USD,1350.0,10.0,kg,135.0,,public_list,medium,https://additiveplus.com/product/a-powder-ti-6al-4v-ti64-titanium-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,Grade 23 public 10-100 kg tier.
OBS-MET-NI-IN718-AP-001,MET-NI-IN718-AP-001,2026-05-17,Additive Plus,USD,1090.0,10.0,kg,109.0,,public_list,medium,https://additiveplus.com/product/a-powder-inconel-718-nickel-superalloy-powder-for-metal-3d-printing-lpbf-compatible-10-kg-22-lbs/,Public 10-100 kg tier.
OBS-POL-PA12-AP-001,POL-PA12-AP-001,2026-05-17,Additive Plus,USD,750.0,10.0,kg,75.0,,public_list,medium,https://additiveplus.com/product/kspa12-nylon-powder/,Public SLS PA12 price.
OBS-MET-FE-316L-REN-001,MET-FE-316L-REN-001,2026-05-17,Renishaw,USD,,,,,,request_quote,high,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,Quote-only product page.
OBS-MET-NI-IN625-REN-001,MET-NI-IN625-REN-001,2026-05-17,Renishaw,USD,,,,,,request_quote,high,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,Quote-only product page.
OBS-MET-FE-MARAGING-REN-001,MET-FE-MARAGING-REN-001,2026-05-17,Renishaw,USD,,,,,,request_quote,high,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,Quote-only product page.
